step,action,removed_ids,removed_labels,removed_exkurt,removed_caps,parent_id,rho,cost,n_after,density,val_loss
27,prune,212,last=space,-0.136,1.9261,,,0.59246,229,0.8945,1.9411
28,prune,17,last=space,-0.563,1.9305,,,0.59278,228,0.8906,1.9477
29,prune,92,last=space,+0.129,1.9308,,,0.59181,227,0.8867,1.9587
30,prune,203,last=vowel,-0.092,1.9313,,,0.59090,226,0.8828,1.9750
31,prune,114,last=vowel,-0.377,1.9333,,,0.59046,225,0.8789,1.9781
32,prune,86,distributed,+0.015,1.9348,,,0.58982,224,0.8750,1.9853
33,prune,24,last=space,-0.607,1.9405,,,0.59048,223,0.8711,1.9965
34,prune,182,last=vowel,-0.457,1.9458,,,0.59102,222,0.8672,2.0129
35,prune,208,next=upper,+0.937,1.9461,,,0.59004,221,0.8633,2.0148
36,prune,112,distributed,+0.270,1.9495,,,0.58997,220,0.8594,2.0182
37,prune,152,distributed,+0.110,1.9572,,,0.59121,219,0.8555,2.0121
38,prune,127,distributed,+0.037,1.9573,,,0.59014,218,0.8516,2.0178
39,prune,48,distributed,+0.324,1.9607,,,0.59003,217,0.8477,2.0233
40,prune,89,last=space,-0.268,1.9637,,,0.58984,216,0.8438,2.0318
41,prune,158,last=vowel,-0.059,1.9702,,,0.59066,215,0.8398,2.0412
42,prune,42,last=space,+0.932,1.9970,,,0.59760,214,0.8359,2.0530
43,prune,183,last=punct,+0.191,1.9987,,,0.59697,213,0.8320,2.0511
44,prune,40,last=space,+0.003,2.0204,,,0.60234,212,0.8281,2.0596
45,prune,200,distributed,-0.197,2.0418,,,0.60760,211,0.8242,2.0669
46,prune,103,last=newline,-0.168,2.0462,,,0.60779,210,0.8203,2.0794
47,prune,51,last=space,-0.208,2.0490,,,0.60749,209,0.8164,2.1005
48,prune,9,last=space,-0.274,2.0503,,,0.60672,208,0.8125,2.1070
49,prune,207,last=space,+0.143,2.0597,,,0.60836,207,0.8086,2.1195
50,prune,1,last=space,-0.195,2.0725,,,0.61099,206,0.8047,2.1214
51,prune,80,last=space,-0.341,2.0933,,,0.61600,205,0.8008,2.1384
52,prune,162,last=newline,-0.135,2.1424,,,0.62930,204,0.7969,2.1371
53,prune,88,last=space,-0.134,2.1494,,,0.63023,203,0.7930,2.1510
54,prune,3,distributed,-0.012,2.1596,,,0.63207,202,0.7891,2.1630
55,prune,22,last=space,+0.005,2.1597,,,0.63095,201,0.7852,2.1768
56,prune,2,next=upper,+2.107,2.1697,,,0.63271,200,0.7812,2.2013
57,prune,61,last=vowel,+0.203,2.1768,,,0.63364,199,0.7773,2.2072
58,prune,252,last=space,-0.094,2.2206,,,0.64524,198,0.7734,2.2052
59,prune,25,distributed,+0.286,2.2378,,,0.64909,197,0.7695,2.1985
60,prune,204,last=space,-0.002,2.2435,,,0.64958,196,0.7656,2.2069
61,prune,105,last=space,+0.149,2.2547,,,0.65168,195,0.7617,2.2228
62,prune,122,last=space,+0.311,2.2566,,,0.65106,194,0.7578,2.2382
63,prune,195,last=newline,-0.485,2.2758,,,0.65545,193,0.7539,2.2525
64,prune,217,last=space,+0.250,2.2838,,,0.65657,192,0.7500,2.2589
65,prune,18,last=space,-0.479,2.3040,,,0.66123,191,0.7461,2.2861
66,prune,161,last=space,+0.087,2.3054,,,0.66045,190,0.7422,2.3011
67,prune,144,last=vowel,+0.026,2.3189,,,0.66315,189,0.7383,2.2959
68,prune,176,distributed,+0.338,2.3364,,,0.66700,188,0.7344,2.2965
69,prune,250,last=space,-0.293,2.3513,,,0.67008,187,0.7305,2.2959
70,prune,138,last=vowel,-0.119,2.3679,,,0.67363,186,0.7266,2.3008
71,prune,253,last=vowel,+0.278,2.3701,,,0.67308,185,0.7227,2.3049
72,prune,157,distributed,+0.176,2.3898,,,0.67751,184,0.7188,2.3163
73,prune,169,last=space,-0.354,2.3940,,,0.67749,183,0.7148,2.3245
74,prune,191,next=upper,+0.901,2.3963,,,0.67696,182,0.7109,2.3457
75,prune,117,last=space,-0.142,2.4033,,,0.67775,181,0.7070,2.3654
76,prune,248,distributed,+0.314,2.4364,,,0.68590,180,0.7031,2.3664
77,prune,26,last=space,-0.289,2.4481,,,0.68800,179,0.6992,2.3737
78,prune,247,last=punct,+0.554,2.4519,,,0.68787,178,0.6953,2.3790
79,prune,213,distributed,+0.390,2.4540,,,0.68725,177,0.6914,2.3673
80,prune,39,distributed,-0.166,2.4593,,,0.68755,176,0.6875,2.3797
81,prune,41,last=punct,+0.346,2.4745,,,0.69057,175,0.6836,2.3770
82,prune,233,last=space,-0.003,2.4781,,,0.69035,174,0.6797,2.3983
83,prune,173,last=vowel,-0.120,2.4833,,,0.69059,173,0.6758,2.3932
84,prune,101,last=vowel,+0.646,2.4918,,,0.69171,172,0.6719,2.3894
85,prune,153,distributed,+0.236,2.5022,,,0.69339,171,0.6680,2.4018
86,prune,66,last=space,-0.321,2.5041,,,0.69267,170,0.6641,2.4103
87,prune,235,last=space,+0.177,2.5062,,,0.69200,169,0.6602,2.4338
88,prune,227,last=punct,-0.093,2.5107,,,0.69199,168,0.6562,2.4413
89,prune,149,last=vowel,+0.157,2.5132,,,0.69141,167,0.6523,2.4422
90,prune,139,last=space,-0.008,2.5218,,,0.69250,166,0.6484,2.4745
91,prune,104,last=space,-0.074,2.5426,,,0.69695,165,0.6445,2.5083
92,prune,154,last=space,-0.300,2.5501,,,0.69774,164,0.6406,2.5078
93,prune,199,last=vowel,-0.079,2.5563,,,0.69815,163,0.6367,2.4981
94,prune,56,last=space,-0.137,2.5903,,,0.70616,162,0.6328,2.4796
95,prune,118,last=vowel,+0.323,2.6077,,,0.70966,161,0.6289,2.4838
96,prune,177,distributed,-0.015,2.6455,,,0.71870,160,0.6250,2.4864
97,prune,209,distributed,+0.327,2.6493,,,0.71845,159,0.6211,2.4899
98,prune,129,last=space,-0.427,2.6522,,,0.71798,158,0.6172,2.4902
99,prune,100,last=space,+0.145,2.6735,,,0.72247,157,0.6133,2.4909
100,prune,189,last=vowel,+0.324,2.6816,,,0.72340,156,0.6094,2.4912
101,prune,96,last=vowel,-0.073,2.6879,,,0.72382,155,0.6055,2.4878
102,prune,179,distributed,+0.398,2.6945,,,0.72431,154,0.6016,2.4889
103,prune,172,last=space,+0.040,2.7084,,,0.72677,153,0.5977,2.4837
104,prune,81,distributed,-0.168,2.7125,,,0.72658,152,0.5938,2.5025
105,prune,29,last=space,-0.012,2.7147,,,0.72585,151,0.5898,2.4939
106,prune,246,last=space,-0.493,2.7354,,,0.73011,150,0.5859,2.5086
107,prune,229,last=space,+0.235,2.7367,,,0.72915,149,0.5820,2.5113
108,prune,180,distributed,+0.375,2.7636,,,0.73499,148,0.5781,2.5040
109,prune,123,last=space,-0.119,2.7637,,,0.73372,147,0.5742,2.5098
110,prune,164,last=space,+0.023,2.7696,,,0.73395,146,0.5703,2.5148
111,prune,206,last=vowel,+1.832,2.7782,,,0.73491,145,0.5664,2.5321
112,prune,197,last=space,+0.041,2.8056,,,0.74083,144,0.5625,2.5625
113,prune,160,distributed,+0.159,2.8158,,,0.74220,143,0.5586,2.5621
114,prune,166,last=space,-0.236,2.8250,,,0.74330,142,0.5547,2.5616
115,prune,125,last=space,-0.281,2.8317,,,0.74374,141,0.5508,2.5828
116,prune,170,last=newline,+0.595,2.8325,,,0.74259,140,0.5469,2.5650
117,prune,53,last=newline,+0.509,2.8337,,,0.74155,139,0.5430,2.5659
118,prune,16,distributed,+0.093,2.8481,,,0.74397,138,0.5391,2.5613
119,prune,131,distributed,+0.167,2.8661,,,0.74731,137,0.5352,2.5791
120,prune,19,distributed,+0.093,2.8726,,,0.74763,136,0.5312,2.5859
121,prune,14,last=space,-0.198,2.8839,,,0.74920,135,0.5273,2.5780
122,prune,47,last=space,-0.070,2.8843,,,0.74791,134,0.5234,2.5747
123,prune,32,last=space,+0.108,2.8896,,,0.74788,133,0.5195,2.5786
124,prune,116,last=newline,+0.271,2.8953,,,0.74795,132,0.5156,2.5951
125,prune,230,last=punct,+0.297,2.8984,,,0.74733,131,0.5117,2.6566
126,prune,82,last=space,-0.228,2.9007,,,0.74648,130,0.5078,2.6520
127,prune,243,last=space,-0.107,2.9014,,,0.74522,129,0.5039,2.6469
128,prune,94,next=upper,+0.566,2.9212,,,0.74886,128,0.5000,2.6662
129,prune,237,last=punct,-0.042,2.9271,,,0.74889,127,0.4961,2.6755
130,prune,7,last=space,-0.278,2.9290,,,0.74790,126,0.4922,2.6795
131,prune,240,last=space,-0.314,2.9307,,,0.74686,125,0.4883,2.6760
132,prune,141,last=space,-0.197,2.9402,,,0.74776,124,0.4844,2.6838
133,prune,133,last=vowel,-0.242,2.9527,,,0.74945,123,0.4805,2.6908
134,prune,60,last=space,+0.265,2.9702,,,0.75237,122,0.4766,2.7057
135,prune,245,last=space,+0.113,2.9738,,,0.75179,121,0.4727,2.7171
136,prune,31,last=space,+0.460,2.9751,,,0.75056,120,0.4688,2.7206
137,prune,34,last=vowel,-0.107,2.9852,,,0.75157,119,0.4648,2.7205
138,prune,228,last=space,-0.286,2.9860,,,0.75022,118,0.4609,2.7242
139,prune,221,last=space,-0.224,2.9946,,,0.75078,117,0.4570,2.7172
140,prune,202,distributed,+0.218,3.0301,,,0.75812,116,0.4531,2.7330
141,prune,241,distributed,-0.015,3.0492,,,0.76137,115,0.4492,2.7439
142,prune,198,distributed,+0.194,3.0592,,,0.76229,114,0.4453,2.7516
143,prune,109,last=vowel,+0.211,3.0657,,,0.76232,113,0.4414,2.7575
144,prune,234,last=vowel,-0.194,3.0670,,,0.76105,112,0.4375,2.7564
145,prune,222,last=space,-0.253,3.0744,,,0.76127,111,0.4336,2.7606
146,prune,70,next=vowel,+0.116,3.1039,,,0.76699,110,0.4297,2.7548
147,prune,140,last=newline,+0.252,3.1376,,,0.77372,109,0.4258,2.7640
148,prune,83,distributed,+0.296,3.1392,,,0.77252,108,0.4219,2.7759
149,prune,44,last=vowel,+0.022,3.1451,,,0.77236,107,0.4180,2.7617
150,prune,73,last=space,-0.035,3.1507,,,0.77210,106,0.4141,2.7643
151,prune,95,distributed,-0.138,3.1536,,,0.77115,105,0.4102,2.7899
152,prune,38,last=vowel,+0.342,3.1694,,,0.77337,104,0.4062,2.7945
153,prune,225,next=vowel,+0.051,3.1775,,,0.77367,103,0.4023,2.8114
154,prune,78,last=space,+0.085,3.1790,,,0.77233,102,0.3984,2.8099
155,prune,58,last=space,+0.017,3.1822,,,0.77139,101,0.3945,2.8242
156,prune,167,last=space,-0.110,3.2016,,,0.77440,100,0.3906,2.8211
157,prune,69,last=space,-0.299,3.2029,,,0.77297,99,0.3867,2.8381
158,prune,223,last=space,-0.500,3.2104,,,0.77301,98,0.3828,2.8581
159,prune,159,last=space,-0.422,3.2190,,,0.77330,97,0.3789,2.8604
160,prune,108,last=space,-0.302,3.2233,,,0.77254,96,0.3750,2.8596
161,prune,93,distributed,-0.108,3.2287,,,0.77202,95,0.3711,2.8622
162,prune,249,distributed,-0.225,3.2290,,,0.77024,94,0.3672,2.8590
163,prune,113,last=newline,+0.169,3.2468,,,0.77264,93,0.3633,2.8566
164,prune,50,last=vowel,-0.248,3.2480,,,0.77105,92,0.3594,2.8571
165,prune,156,last=space,+0.113,3.2531,,,0.77035,91,0.3555,2.8582
166,prune,75,last=space,-0.179,3.2834,,,0.77563,90,0.3516,2.8630
167,prune,211,last=space,-0.281,3.2895,,,0.77515,89,0.3477,2.8580
