step,action,removed_ids,removed_labels,removed_exkurt,removed_caps,parent_id,rho,cost,n_after,density,val_loss
77,prune,248,distributed,+0.314,2.4364,,,0.68478,179,0.6992,2.3937
78,prune,26,last=space,-0.289,2.4481,,,0.68687,178,0.6953,2.4006
79,prune,247,last=punct,+0.554,2.4519,,,0.68672,177,0.6914,2.4064
80,prune,213,distributed,+0.390,2.4540,,,0.68610,176,0.6875,2.3945
81,prune,39,distributed,-0.166,2.4593,,,0.68638,175,0.6836,2.4044
82,merge,70|225,next=vowel|next=vowel,+0.116|+0.051,3.1039|3.1775,258,+0.6037,0.68605,174,0.6797,2.4070
83,merge,96|133,last=vowel|last=vowel,-0.073|-0.242,2.6879|2.9527,259,+0.4593,0.68666,173,0.6758,2.4048
84,prune,259,parent,+nan,2.2284,,,0.62047,172,0.6719,2.4057
85,prune,41,last=punct,+0.346,2.4745,,,0.68775,171,0.6680,2.4032
86,prune,233,last=space,-0.003,2.4781,,,0.68750,170,0.6641,2.4218
87,prune,173,last=vowel,-0.120,2.4833,,,0.68769,169,0.6602,2.4129
88,prune,101,last=vowel,+0.646,2.4918,,,0.68877,168,0.6562,2.4104
89,prune,153,distributed,+0.236,2.5022,,,0.69040,167,0.6523,2.4215
90,prune,66,last=space,-0.321,2.5041,,,0.68964,166,0.6484,2.4286
91,prune,227,last=punct,-0.093,2.5107,,,0.69017,165,0.6445,2.4357
92,prune,149,last=vowel,+0.157,2.5132,,,0.68957,164,0.6406,2.4366
93,prune,139,last=space,-0.008,2.5218,,,0.69062,163,0.6367,2.4689
94,merge,258|166,parent|last=space,+nan|-0.236,2.6211|2.8250,260,+0.5680,0.69050,162,0.6328,2.4739
95,prune,260,parent,+nan,2.0654,,,0.56387,161,0.6289,2.4820
96,prune,104,last=space,-0.074,2.5426,,,0.69283,160,0.6250,2.5057
97,prune,154,last=space,-0.300,2.5501,,,0.69356,159,0.6211,2.5066
98,prune,199,last=vowel,-0.079,2.5563,,,0.69390,158,0.6172,2.4956
99,prune,56,last=space,-0.137,2.5903,,,0.70181,157,0.6133,2.4838
100,prune,118,last=vowel,+0.323,2.6077,,,0.70523,156,0.6094,2.4888
101,prune,177,distributed,-0.015,2.6455,,,0.71415,155,0.6055,2.4891
102,prune,209,distributed,+0.327,2.6493,,,0.71384,154,0.6016,2.4927
103,prune,129,last=space,-0.427,2.6522,,,0.71332,153,0.5977,2.4960
104,merge,81|243,distributed|last=space,-0.168|-0.107,2.7125|2.9014,261,+0.4596,0.71741,152,0.5938,2.5133
105,prune,261,parent,+nan,2.0866,,,0.55940,151,0.5898,2.5244
106,prune,100,last=space,+0.145,2.6735,,,0.71538,150,0.5859,2.5293
107,prune,189,last=vowel,+0.324,2.6816,,,0.71621,149,0.5820,2.5320
108,prune,179,distributed,+0.398,2.6945,,,0.71829,148,0.5781,2.5268
109,prune,172,last=space,+0.040,2.7084,,,0.72065,147,0.5742,2.5154
110,prune,29,last=space,-0.012,2.7147,,,0.72095,146,0.5703,2.5143
111,prune,246,last=space,-0.493,2.7354,,,0.72511,145,0.5664,2.5263
112,prune,229,last=space,+0.235,2.7367,,,0.72408,144,0.5625,2.5235
113,prune,180,distributed,+0.375,2.7636,,,0.72982,143,0.5586,2.5230
114,prune,123,last=space,-0.119,2.7637,,,0.72848,142,0.5547,2.5284
115,prune,164,last=space,+0.023,2.7696,,,0.72864,141,0.5508,2.5252
116,prune,206,last=vowel,+1.832,2.7782,,,0.72952,140,0.5469,2.5438
117,prune,197,last=space,+0.041,2.8056,,,0.73532,139,0.5430,2.5726
118,prune,160,distributed,+0.159,2.8158,,,0.73661,138,0.5391,2.5707
119,merge,113|228,last=newline|last=space,+0.169|-0.286,3.2468|2.9860,262,+0.5203,0.73848,137,0.5352,2.5698
120,prune,262,parent,+nan,2.4044,,,0.62730,136,0.5312,2.5761
121,prune,125,last=space,-0.281,2.8317,,,0.73737,135,0.5273,2.5929
122,prune,170,last=newline,+0.595,2.8325,,,0.73613,134,0.5234,2.5788
123,prune,53,last=newline,+0.509,2.8337,,,0.73500,133,0.5195,2.5778
124,prune,16,distributed,+0.093,2.8481,,,0.73731,132,0.5156,2.5775
125,prune,131,distributed,+0.167,2.8661,,,0.74052,131,0.5117,2.5974
126,prune,19,distributed,+0.093,2.8726,,,0.74073,130,0.5078,2.6020
127,prune,14,last=space,-0.198,2.8839,,,0.74219,129,0.5039,2.5969
128,prune,47,last=space,-0.070,2.8843,,,0.74081,128,0.5000,2.5898
129,prune,32,last=space,+0.108,2.8896,,,0.74067,127,0.4961,2.6012
130,prune,116,last=newline,+0.271,2.8953,,,0.74063,126,0.4922,2.6149
131,prune,230,last=punct,+0.297,2.8984,,,0.73990,125,0.4883,2.6550
132,prune,82,last=space,-0.228,2.9007,,,0.73896,124,0.4844,2.6499
133,prune,94,next=upper,+0.566,2.9212,,,0.74266,123,0.4805,2.6676
134,prune,237,last=punct,-0.042,2.9271,,,0.74260,122,0.4766,2.6785
135,prune,7,last=space,-0.278,2.9290,,,0.74152,121,0.4727,2.6821
136,prune,240,last=space,-0.314,2.9307,,,0.74038,120,0.4688,2.6809
137,prune,141,last=space,-0.197,2.9402,,,0.74118,119,0.4648,2.6881
138,prune,60,last=space,+0.265,2.9702,,,0.74716,118,0.4609,2.7101
139,prune,245,last=space,+0.113,2.9738,,,0.74649,117,0.4570,2.7237
