action,id_i,id_j,cap,cost
prune,385,,0.24679442359610357,0.5407742501358468
prune,2939,,0.24684404931241122,0.5407971951970546
prune,1876,,0.24703352349828145,0.5411264890945425
prune,2991,,0.24739100938016273,0.5418237368385747
prune,656,,0.24747245343896204,0.5419162602120543
prune,3050,,0.24750363440675857,0.5418986587834427
prune,336,,0.24754198779526077,0.5418967204669313
prune,2319,,0.24756933500916062,0.5418706446100329
prune,2864,,0.24783831394384503,0.5423734187933743
prune,2175,,0.24789404287218622,0.5424093911658165
prune,860,,0.24826708942684372,0.5431396490968736
prune,600,,0.2484252499290372,0.5433996446262775
prune,2353,,0.24853859682098248,0.5435615361963516
prune,1800,,0.24875688448343902,0.5439528792558167
prune,3046,,0.2488861648930295,0.5441494921491135
prune,711,,0.2490861150690426,0.5445005493143296
prune,1588,,0.24915637403226287,0.5445680054431467
prune,3028,,0.24955984365022704,0.5453637132804701
prune,78,,0.2498009153867295,0.5458043774308949
prune,2648,,0.24998442921533715,0.5461191769801589
prune,2134,,0.25022524943901225,0.5465590897791561
prune,1893,,0.2503916789505621,0.5468364093903317
prune,1227,,0.2504002094998436,0.5467688001559802
prune,2451,,0.2504708191117598,0.5468367147543284
prune,340,,0.2504726502365961,0.5467544126907662
prune,2371,,0.25054224947075276,0.5468200124467294
prune,2057,,0.2507339934322971,0.5471521555241058
prune,2346,,0.25077369478774814,0.5471524148377334
prune,2470,,0.25114114863928205,0.5478677632537183
prune,2960,,0.2511555903277299,0.5478128525702842
prune,674,,0.25116524230757903,0.5477474574132757
prune,140,,0.2512159481391633,0.5477715608292727
prune,2416,,0.2512802669830081,0.5478253012993525
prune,1299,,0.251635629650615,0.5485135278762154
prune,1988,,0.2517590872107772,0.5486961031759608
prune,293,,0.2520118019922962,0.5491603312111235
prune,2242,,0.25244342963962507,0.550014341860517
prune,2846,,0.25265151019204235,0.5503811310550384
prune,1465,,0.25268202589086425,0.5503610070993751
prune,2364,,0.25291904020558204,0.5507906275611275
prune,946,,0.25294412745030187,0.5507586144006695
prune,2317,,0.2529785142439087,0.5507468106394482
prune,1581,,0.2533566091896609,0.5514832608732035
prune,2834,,0.25337821035948516,0.5514435672108086
prune,1754,,0.2533877419310559,0.5513775655090115
prune,2955,,0.2533895029068056,0.5512946181271433
prune,405,,0.2535504404943577,0.5515579666634216
prune,2226,,0.2535806007225831,0.5515367438745296
prune,2978,,0.25380256669016527,0.5519326713426296
prune,2562,,0.2539955292413604,0.5522654321537542
prune,2866,,0.2540463964304557,0.5522891377191591
prune,682,,0.2541554598782459,0.5524393177674486
prune,2603,,0.25428943793682934,0.5526435925890986
prune,1473,,0.2543779916909362,0.5527490749401278
prune,2672,,0.2544037170822039,0.552717972752973
prune,3012,,0.2544575756422289,0.5527479544266721
prune,2011,,0.2545057000845982,0.5527654316863929
prune,2125,,0.254655710717482,0.5530041591346351
prune,1204,,0.2548770673286356,0.5533977525602459
prune,976,,0.25491826690831015,0.5534000766523842
prune,2773,,0.2550964123712291,0.5536996620091407
prune,1156,,0.2552442568221488,0.553933394764017
prune,2576,,0.25557597409190225,0.554566112964496
prune,975,,0.2556754532901941,0.5546947662586632
prune,1302,,0.25577982694458895,0.554833978869643
prune,2331,,0.2558324266341352,0.554860818758632
prune,3025,,0.25588047378866524,0.5548777367837068
prune,2954,,0.2561439413807678,0.555361766439251
prune,1035,,0.256424911538743,0.555883644383764
prune,764,,0.25643398118326594,0.5558159610938134
prune,2569,,0.2567651070333842,0.5564463197980616
prune,2141,,0.2567929081869017,0.5564191863054214
prune,779,,0.2569890323260322,0.5567567483959706
prune,966,,0.2571094830596516,0.5569302763248551
prune,725,,0.2571141469962268,0.5568529209670182
prune,2365,,0.25734237764396256,0.557259746010703
prune,281,,0.25748839662116263,0.557488447242847
prune,1146,,0.2574949454920713,0.5574150979229014
prune,1842,,0.25762900127809885,0.5576177456291618
prune,1756,,0.25791994514502986,0.5581599109305521
prune,967,,0.25798541172023437,0.558213997250988
prune,950,,0.2580172124406144,0.5581951852057573
prune,1279,,0.25829107326881334,0.5587000257481806
prune,1337,,0.25832685576862024,0.5586897632193498
prune,406,,0.2583409470733009,0.5586325429047017
prune,107,,0.2583415298469117,0.5585460723539264
prune,2429,,0.2585119715401322,0.5588268247839394
prune,2721,,0.2591700249708901,0.5601616178214365
prune,472,,0.2592835249672798,0.5603191836514291
prune,2489,,0.25941781988843965,0.5605216269594812
prune,382,,0.259440506265718,0.5604828403469578
prune,635,,0.25955151947237864,0.5606348383681298
prune,1639,,0.2596716071329934,0.5608063758763941
prune,397,,0.25969071867295374,0.560759763743656
prune,2396,,0.2599156863785923,0.5611576439240593
prune,2962,,0.2600293080093547,0.5613150274859916
prune,2148,,0.2600658357221031,0.5613059212173855
prune,1430,,0.2600681836912976,0.5612229966255102
prune,1609,,0.2602903617165281,0.5616144467446915
prune,620,,0.26037845087807526,0.5617164784821616
prune,1303,,0.26106992325556316,0.5631201950279259
prune,1970,,0.2613647561371004,0.5636681320750238
prune,576,,0.2614451700299203,0.5637535189452115
prune,1656,,0.2614465826015449,0.5636684929929489
prune,423,,0.26150854198973444,0.5637139736344617
prune,2302,,0.2617539579560522,0.5641548853698384
prune,2412,,0.26180245815782677,0.5641712736858265
prune,62,,0.26181656576171675,0.5641134970665362
prune,1462,,0.26192415455351364,0.5642571065071486
prune,145,,0.26207744816361234,0.5644991200802638
prune,2352,,0.26240994829626996,0.5651270797322681
prune,419,,0.26242509797468405,0.5650714461405699
prune,515,,0.262442847740056,0.5650213720871301
prune,2661,,0.26247086416356,0.5649933624290158
prune,3026,,0.2625023815846476,0.5649728468575516
prune,2229,,0.2625445152311916,0.5649751378626511
prune,733,,0.2628874523236001,0.5656247187698251
prune,2,,0.26290933270811545,0.5655833697814403
prune,2908,,0.2629505023450689,0.5655834775828996
prune,182,,0.2633603923199158,0.5663766625191684
prune,1943,,0.26339449195241615,0.5663615113286562
prune,2326,,0.26349751989937703,0.5664945356203479
prune,2251,,0.2635621810867113,0.5665450109410264
prune,2269,,0.2636651085728093,0.5666776950225945
prune,1117,,0.26385730430752663,0.5670021864833812
prune,2098,,0.26386182674493575,0.5669232870339685
prune,1219,,0.26437814162230333,0.5679440211938163
prune,2486,,0.2643917115633484,0.5678845376125459
prune,1083,,0.2644579866903788,0.5679382250789545
prune,1102,,0.2645231104458054,0.5679893881578528
prune,284,,0.26458283012553463,0.568028895533613
prune,736,,0.2646309249027141,0.5680433941758106
prune,2520,,0.26463586022534397,0.5679651968122073
prune,2944,,0.2648963799635383,0.5684355277486336
prune,1325,,0.26490136986445545,0.5683573992614627
prune,2635,,0.26523374198648353,0.5689816807792343
prune,496,,0.26524004249140504,0.5689063234038068
prune,0,,0.26547530487724474,0.5693220468029356
prune,1422,,0.26552602710996415,0.5693419067121499
prune,1288,,0.26568488870350254,0.5695936028986681
prune,553,,0.26576729282407285,0.5696813032605803
prune,1572,,0.2658868741636741,0.5698486428671521
prune,1310,,0.2659357492047393,0.5698643732229874
prune,984,,0.26616973789199033,0.5702767494152956
prune,2271,,0.26620752776206863,0.5702686526457522
prune,1425,,0.2662269104794298,0.5702210766963303
prune,2815,,0.266374331537264,0.5704477138053369
prune,2891,,0.2665676524715817,0.5707725816776149
prune,1028,,0.2666008958325592,0.5707545946862267
prune,372,,0.2666693643202623,0.5708119790565181
prune,3008,,0.26675334118704813,0.5709025087595146
prune,645,,0.26675517909546437,0.57081718057785
prune,818,,0.2668612776212837,0.5709549288850907
prune,1563,,0.2668894150268985,0.570925808286996
prune,589,,0.2669900860456634,0.5710518150318168
prune,2039,,0.26704362574729384,0.5710769499602354
prune,2549,,0.2671772121280846,0.5712732256184091
prune,1090,,0.2672434792241566,0.571325485842467
prune,469,,0.2672486388892977,0.5712470488395824
prune,73,,0.2675211700826314,0.5717401129211708
prune,1565,,0.2675458050367886,0.5717032530504381
prune,2584,,0.2678807721196301,0.5723295161007695
prune,1257,,0.26795766350366074,0.5724042575469668
prune,369,,0.26803279977796834,0.5724751950764495
prune,572,,0.2680402124485678,0.572401424006889
prune,1767,,0.2682043533306547,0.572662325515773
prune,2543,,0.2682222884732365,0.5726109622599922
prune,622,,0.26837236107689627,0.572841664444457
prune,2614,,0.2683834797773261,0.5727756825263538
prune,727,,0.26845229708785573,0.5728328056207731
prune,1923,,0.268719716993567,0.5733136836765551
prune,94,,0.2689053539763396,0.573619972083953
prune,1199,,0.26895236789941096,0.5736304600201717
prune,463,,0.2689724200945349,0.5735833918680427
prune,1534,,0.26914369026882784,0.5738587711127888
prune,1753,,0.2691585531413099,0.5738005708069532
prune,1789,,0.2693796773806436,0.5741820676494305
prune,2044,,0.2697367377109448,0.5748532418581546
prune,295,,0.2699160948012267,0.5751455653695284
prune,937,,0.26997986893792486,0.5751915108443537
prune,3038,,0.2699823742773702,0.5751068642256562
prune,1757,,0.2700088704422269,0.5750732861687748
prune,2432,,0.2701446267863443,0.575272382868547
prune,1235,,0.2702804156390686,0.5754714814235444
prune,1456,,0.27035675781655794,0.5755439337997373
prune,2448,,0.27053812979129505,0.5758399347617594
prune,2602,,0.2706324739826382,0.5759506097768712
prune,1419,,0.2707064611139166,0.5760179006828303
prune,2839,,0.27074021170214774,0.5759995160029088
prune,1646,,0.27083102036643475,0.5761024835390401
prune,2071,,0.2710809438467267,0.5765438759855486
prune,763,,0.2711367875740107,0.5765723782806746
prune,870,,0.27127021976763915,0.5767658314477625
prune,2070,,0.2714152654266717,0.5769839113764444
prune,1451,,0.2716019283403554,0.5772903985175183
prune,2003,,0.27170815133099707,0.5774258226907831
prune,1555,,0.2717579181636147,0.5774412000603251
prune,2788,,0.2717681500023495,0.5773725180351076
prune,1003,,0.27196473378410085,0.5776997233518683
prune,644,,0.2720058977728755,0.5776966912976526
prune,1211,,0.2721038888982312,0.5778143104586039
prune,810,,0.2722090675077445,0.5779471337936488
prune,420,,0.27270116353591384,0.5789014370339145
prune,244,,0.2727782912177443,0.5789746354798413
prune,949,,0.2728779932273014,0.5790956960418263
prune,2832,,0.2729299208085488,0.5791153051681627
prune,605,,0.2729508072731688,0.5790689961773952
prune,2152,,0.2729565174256942,0.5789904451624365
prune,2830,,0.27325926339374534,0.5795419580849407
prune,87,,0.2735053682843887,0.5799732351919369
prune,243,,0.2737373924971185,0.5803745625803983
prune,1151,,0.2738879749230224,0.5806031211887758
prune,2740,,0.27401966456200666,0.5807915574763165
prune,1380,,0.2740315468687058,0.5807259777422896
prune,577,,0.27447717910673014,0.5815796121222404
prune,2467,,0.2746197520945163,0.5817909370892156
prune,2282,,0.27465326639337273,0.5817711354460073
prune,1780,,0.2747938597202665,0.5819781165093318
prune,260,,0.27485595911805694,0.5820187796112436
prune,453,,0.27497694796554245,0.5821840992167037
prune,1822,,0.27505254544683394,0.5822532460414409
prune,2781,,0.2752349718157038,0.5825484960336288
prune,2580,,0.2753121746227427,0.5826209453325186
prune,1870,,0.27536554445023115,0.582642900640142
prune,614,,0.2754003180256014,0.5826254555725273
prune,1381,,0.2755457529427376,0.5828420888894589
prune,1189,,0.275637512756458,0.5829451113700649
prune,2601,,0.2757977497143522,0.5831929069890379
prune,2358,,0.2760178856453565,0.5835672993671541
prune,1192,,0.27616788607537474,0.5837933160290694
prune,1982,,0.2761857259634423,0.5837398705174788
prune,1835,,0.2762717611669242,0.5838305266792774
prune,1635,,0.2763054990605378,0.583810601811582
prune,121,,0.27633320670682066,0.5837778880723251
prune,1787,,0.2767125424760646,0.5844880207499764
prune,2684,,0.27678347804889225,0.5845465772751233
prune,3007,,0.27678689075344176,0.5844624673516668
prune,2560,,0.27683010057076624,0.5844623574254192
prune,668,,0.27683696704241995,0.5843854634585836
prune,1339,,0.27695935928668736,0.5845524111013121
prune,1745,,0.2769928685117524,0.5845316854645543
prune,105,,0.27709926558423753,0.5846647363490153
prune,322,,0.2771951816872005,0.5847756104311085
prune,1724,,0.27733114591000313,0.5849709170457701
prune,1601,,0.27744148519816025,0.585112102997111
prune,2558,,0.27759032587228216,0.5853344300619266
prune,266,,0.2776632568600363,0.5853966122683557
prune,1514,,0.2779060755408366,0.5858169367291657
prune,1815,,0.2779081589150522,0.5857296787199293
prune,1861,,0.2779215575818172,0.5856662298187743
prune,1600,,0.27799024459965577,0.5857192548432979
prune,246,,0.27806574867593453,0.585786590282765
prune,200,,0.278099281566103,0.5857654462238238
prune,1479,,0.2781843795128568,0.585852874437626
prune,559,,0.27821634688179286,0.585828345870158
prune,1797,,0.2782753670778062,0.5858607380606543
prune,2444,,0.27833480402937166,0.5858939555225697
prune,1355,,0.27859945102746886,0.586359115456446
prune,2238,,0.2789833723285504,0.5870752330438475
prune,2038,,0.27901045516456524,0.5870402783414207
prune,998,,0.2790576055888411,0.587047502674795
prune,2894,,0.27907326478307254,0.5869884252239852
prune,2478,,0.2790878110546535,0.586926962743613
prune,792,,0.27918712449920036,0.587043735190454
prune,638,,0.27925441904101317,0.5870931173581736
prune,2254,,0.27927110784781484,0.5870360470937634
prune,89,,0.27931239723479945,0.5870306470587096
prune,2124,,0.2793291698729948,0.5869736677171408
prune,473,,0.2794239998693243,0.5870806821444348
prune,2524,,0.2796935486640835,0.5875547526580946
prune,2501,,0.27970535094556176,0.587487244195558
prune,307,,0.2798273665135509,0.5876511972886753
prune,891,,0.28010466763781594,0.5881412150702399
prune,2017,,0.2801055279422932,0.5880506519927757
prune,1665,,0.280181376132806,0.5881174866843746
prune,2186,,0.2801921120520378,0.5880475818446035
prune,183,,0.2802268762589408,0.5880280657497174
prune,1799,,0.28052714922050026,0.5885656827019587
prune,1323,,0.2806781724978854,0.588790044219149
prune,1682,,0.28071493524685537,0.58877463060285
prune,292,,0.28074615268265335,0.5887475368497412
prune,1130,,0.28074802563847856,0.5886588536145242
prune,1535,,0.28076708552363705,0.5886061674722433
prune,1502,,0.28096116368298885,0.5889203730200022
prune,2748,,0.2811098660034591,0.5891393820958694
prune,2220,,0.28117665207705683,0.5891866329096855
prune,1937,,0.2812835989960902,0.589317989493527
prune,1894,,0.28144015839630765,0.5895532346379426
prune,327,,0.28163841129943695,0.5898757532328248
prune,945,,0.2817122442408348,0.5899375846086329
prune,2026,,0.28237502622962557,0.5912327726526698
prune,1733,,0.28242721601941684,0.5912492593608005
prune,221,,0.2825108600508774,0.5913315471633197
prune,1911,,0.2827422087887783,0.591722964304254
prune,547,,0.28274585084536547,0.5916377192021464
prune,2909,,0.28280957662448697,0.5916781635411426
prune,1263,,0.2829868587477607,0.5919561470027118
prune,280,,0.2830828337825217,0.5920639647531868
prune,774,,0.2831139086134634,0.5920359753174561
prune,45,,0.2831465605555927,0.5920112361012841
prune,1883,,0.2831778852258729,0.5919836732664991
prune,287,,0.28328842241152624,0.5921216679171212
prune,365,,0.28330864805848244,0.5920708200505623
prune,1537,,0.28333006930729554,0.5920224247999747
prune,1554,,0.28339356827597,0.5920619113901996
prune,151,,0.2839098037524715,0.5930472623984138
prune,1253,,0.28394162663746825,0.5930205370019832
prune,2861,,0.2839662988599437,0.5929788277866374
prune,1158,,0.28406054297896843,0.5930823620190714
prune,2664,,0.28412708239603385,0.5931279886351946
prune,314,,0.2842742190219354,0.5933418230237666
prune,83,,0.28435166445925164,0.5934101173476437
prune,1364,,0.2845463210062236,0.5937229792617769
prune,488,,0.2845911784488074,0.5937231763453069
prune,1890,,0.2846029352084011,0.5936542618244498
prune,1814,,0.2846603697030767,0.5936805884942243
prune,3002,,0.2848162623944516,0.5939122188867079
prune,2943,,0.285014117733276,0.5942312876176741
prune,357,,0.2850552441376918,0.5942234874882594
prune,180,,0.28525291678644576,0.594541995734959
prune,2514,,0.28530703132799184,0.5945611914347095
prune,2462,,0.2853110993179333,0.5944760330341261
prune,1669,,0.2853454384664335,0.5944539084699604
prune,2083,,0.28554602474742213,0.5947780990924647
prune,227,,0.28570085609099777,0.5950068991181708
prune,2379,,0.2857375237377941,0.5949895203042206
prune,1167,,0.2859291402305446,0.5952947646400736
prune,256,,0.2861493991762467,0.5956595693909226
prune,2341,,0.2862295480343068,0.5957326123595375
prune,664,,0.2862807981046125,0.5957454461201628
prune,1498,,0.28643794935574374,0.5959786224890593
prune,746,,0.2865245095195387,0.5960648415142663
prune,2628,,0.28654513043022534,0.5960138164833131
prune,1676,,0.2865612870583841,0.5959534578110974
prune,2674,,0.2865693598681069,0.5958762396835297
prune,2334,,0.2867503178745986,0.5961584911458098
prune,897,,0.28697574994920894,0.5965331370563965
prune,1334,,0.2870226806254647,0.5965366238434421
prune,387,,0.28709322308996865,0.5965891362470188
prune,2822,,0.2871150063216698,0.5965402617428404
prune,165,,0.2871535305031651,0.5965261249444332
prune,51,,0.28730781895616936,0.5967524418051376
prune,1681,,0.28734854221283324,0.5967427899728156
prune,1403,,0.2874869585821627,0.5969359838848971
prune,1200,,0.2877738705964967,0.5974374690505956
prune,298,,0.28812871634297005,0.5980799074496995
prune,2399,,0.2881417254178406,0.5980126240546026
prune,607,,0.28814196265471803,0.5979187853711713
prune,489,,0.28823821780741693,0.5980241629352282
prune,1388,,0.28843278074100814,0.5983334605186392
prune,708,,0.2884885171299395,0.5983546731336855
prune,1726,,0.2885251563619195,0.5983362195246044
prune,2887,,0.288769678916641,0.5987488519890433
prune,1308,,0.28879377241843834,0.5987043157334211
prune,2043,,0.2888302509443593,0.5986854085953375
prune,306,,0.288914046708993,0.5987645373177736
prune,754,,0.28901186081152197,0.5988726623254711
prune,973,,0.2892416594665619,0.5992542381521067
prune,1354,,0.2893326489645075,0.5993481224655468
prune,2004,,0.2894594750978319,0.5995161879347547
prune,2687,,0.28951308646758567,0.5995325365733334
prune,163,,0.2896054896992491,0.5996291692875466
prune,1435,,0.28967303430255986,0.5996742680684677
prune,2236,,0.2896975992023651,0.5996303283165544
prune,2552,,0.2898429192130637,0.5998363041824213
prune,672,,0.289946608445013,0.5999560486883181
prune,214,,0.2901062063607917,0.6001914263808085
prune,2571,,0.2901973300609286,0.6002850576893587
prune,2322,,0.29041907979578824,0.6006488558939004
prune,36,,0.29059774637541363,0.6009234608030771
prune,440,,0.2906344010083349,0.6009043035064989
prune,1999,,0.29065830358799344,0.6008587273324507
prune,156,,0.2908934237901771,0.6012497732862451
prune,2799,,0.2910133092165521,0.6014025374578367
prune,67,,0.29102403674109256,0.6013296353007475
prune,1144,,0.2910495180654502,0.6012871736072675
prune,836,,0.29138629685233597,0.601887832252908
prune,2731,,0.2914226516875829,0.6018677855780571
prune,1315,,0.29146509959423594,0.6018602725009969
prune,2590,,0.2915214938143084,0.6018815078735232
prune,8,,0.29153280152878097,0.6018095945877893
prune,1596,,0.2915808051592713,0.6018133912144021
prune,1863,,0.2918269365335294,0.6022260970384505
prune,1774,,0.29207377378171895,0.6026401750027524
prune,513,,0.29213549071223244,0.602672175580133
prune,2505,,0.2922961409136159,0.6029082355851856
prune,858,,0.2924407998152631,0.6031112372026416
prune,2722,,0.29249610270426346,0.6031298730139631
prune,729,,0.29256007267403566,0.6031663273404841
prune,521,,0.29272404661771323,0.6034089192782045
prune,1112,,0.29274834287638785,0.6033634902346474
prune,895,,0.2928168804258389,0.6034092015889188
