action,id_i,id_j,cap,cost
prune,2808,,0.13137658418599632,0.1231568715678796
prune,178,,0.1586908704444253,0.1487209877448326
prune,2837,,0.21739659636037065,0.20368564913919077
prune,179,,0.24860288301589836,0.23286558884851066
prune,3029,,0.2608097905813913,0.24423960289764707
prune,195,,0.2725641148623196,0.2551851664635003
prune,1157,,0.2953218786627082,0.27642664293057373
prune,2289,,0.30180341423780394,0.28242736263936113
prune,2089,,0.3265839394531617,0.3055477106160524
prune,2859,,0.32807271843942026,0.3068711578082987
prune,932,,0.3395070065593902,0.3174957490429564
prune,2073,,0.3405006047568242,0.31835404324553307
prune,3064,,0.3505292110388619,0.3276583919064431
prune,1430,,0.35827406361745207,0.33482512038769807
prune,127,,0.37837859173730104,0.35353908294018305
prune,1184,,0.39072335464431973,0.36499763774516314
prune,2656,,0.3909653873878028,0.365147888147509
prune,161,,0.3913460991263111,0.3654275634089726
prune,1102,,0.40242025657950753,0.3756914977504174
prune,208,,0.4153821112661551,0.38771467878618426
prune,1656,,0.4155136184651008,0.38775965079414354
prune,1779,,0.41684500739782937,0.38892422389531356
prune,1959,,0.41955754178281446,0.3913769807604388
prune,2153,,0.420984363953953,0.3926297640983706
prune,2574,,0.4306522145026637,0.40156762316298766
prune,3016,,0.43315825891099907,0.40382541716696374
prune,1443,,0.43749080141515695,0.40778529372115463
prune,751,,0.43859832948012306,0.4087382649811034
prune,1787,,0.44120372508227645,0.4110867625850355
prune,2413,,0.444977183121078,0.4145228971151435
prune,765,,0.4472238774464431,0.41653594562665064
prune,1097,,0.45483073422951303,0.423540553394092
prune,37,,0.45820295948387735,0.4266003323226162
prune,1815,,0.4615814435692272,0.4296651749699479
prune,1281,,0.4623806111779548,0.4303284020065559
prune,2409,,0.46435594625737664,0.43208601904400923
prune,397,,0.46681187070336394,0.4342903601774347
prune,2956,,0.4678903050923525,0.43521268526852125
prune,2795,,0.4694921707586519,0.4366216122144092
prune,1978,,0.470822907986039,0.43777804208104587
prune,682,,0.4717474303013322,0.438556479555689
prune,140,,0.4750043990530523,0.4415029560477619
prune,712,,0.47615383434458386,0.4424899183533703
prune,619,,0.47648660934570647,0.44271772596808595
prune,320,,0.47707618961961984,0.4431840375912546
prune,1625,,0.48026243460060863,0.44606231043625905
prune,439,,0.48379430661435896,0.44926091876457264
prune,800,,0.4858210971392543,0.45106119566534336
prune,454,,0.4864865825068111,0.4515971813911924
prune,2748,,0.48737667170742865,0.45234150029165293
prune,126,,0.4882656309346677,0.4530845704692245
prune,2081,,0.4883177214622292,0.4530508955881504
prune,2015,,0.4910397494613747,0.4554942226364294
prune,688,,0.49186716239178824,0.4561795801469624
prune,1995,,0.49365048134790307,0.4577512774084027
prune,2156,,0.49548641355179407,0.45937139301025753
prune,3051,,0.498025367723529,0.4616428970404951
prune,2041,,0.4982453307518493,0.46176436979129504
prune,1363,,0.4989091323487524,0.4622971066167704
prune,2614,,0.4993337395368889,0.46260805729236987
prune,2269,,0.5015529417295722,0.4645814664603557
prune,767,,0.5018397751340026,0.46476455241622655
prune,34,,0.5058367033408755,0.46838348162800975
prune,842,,0.5066079360402737,0.46901485851026126
prune,2435,,0.5067403620647384,0.4690546773616697
prune,2452,,0.5072659829318312,0.4694583922171114
prune,1612,,0.5124967393385608,0.47421635668964546
prune,2774,,0.512987202349273,0.4745872184421658
prune,1298,,0.5131752892463026,0.47467823016519245
prune,1984,,0.5160439279128228,0.47724860659895896
prune,2026,,0.5161560959842643,0.4772692495718068
prune,698,,0.5168672014187615,0.477843652062061
prune,1782,,0.5198132367868344,0.4804840682768331
prune,330,,0.5207478686305361,0.48126475497544285
prune,1839,,0.5208422045008102,0.4812686797698492
prune,1104,,0.5209939744028257,0.48132563120032645
